delta_case,ssp,ensemble,enso_change,tele_change
0.264595763,585,MIROC6_r22i1p1f1,0.1673085,0.190836301
0.262190862,370,MPI.ESM1.2.LR_r15i1p1f1,0.1294596,0.142633337
0.259665787,370,MPI.ESM1.2.LR_r24i1p1f1,0.0208848,0.250871644
0.25923999,245,MIROC6_r38i1p1f1,0.1582178,0.128585126
0.258418578,245,MIROC6_r40i1p1f1,0.1551597,0.129958802
0.253383631,245,MIROC.ES2L_r27i1p1f2,0.2639424,0.094876266
0.253200146,245,MPI.ESM1.2.LR_r6i1p1f1,0.1307344,0.131820045
0.252684848,245,MPI.ESM1.2.LR_r30i1p1f1,0.09679309,0.13647368
0.250287412,585,GFDL.ESM4_r1i1p1f1,0.1493639,0.20488952
0.249109267,370,MIROC6_r21i1p1f1,0.1379209,0.174756827
0.247067266,370,MPI.ESM1.2.LR_r6i1p1f1,0.04409098,0.229029787
0.246997247,126,MIROC6_r39i1p1f1,0.1851362,0.151148318
0.246193495,370,MPI.ESM1.2.LR_r19i1p1f1,0.00197661,0.298547647
0.245323904,370,MIROC6_r29i1p1f1,0.1763726,0.118271848
0.244028104,585,MIROC6_r38i1p1f1,0.2102064,0.15093172
0.243653663,370,MIROC6_r50i1p1f1,0.2591106,0.062556643
0.240908515,370,MIROC6_r10i1p1f1,0.1536215,0.233089502
0.237425414,126,MIROC6_r17i1p1f1,0.1370346,0.141592964
0.235486356,370,MIROC6_r35i1p1f1,0.2137166,0.090500497
0.235305059,126,MIROC6_r40i1p1f1,0.1718331,0.162554731
0.231774105,370,MPI.ESM1.2.LR_r10i1p1f1,0.09489927,0.195857777
0.228604173,370,MIROC6_r28i1p1f1,0.1582556,0.193878188
0.228541206,245,MIROC6_r3i1p1f1,0.1862686,0.113189338
0.22439738,585,UKESM1.0.LL_r1i1p1f2,-0.21665,0.449376369
0.223987599,245,MIROC6_r24i1p1f1,0.1939121,0.078265297
0.215740505,370,MIROC6_r13i1p1f1,0.2327924,0.032817056
0.215461285,370,MPI.ESM1.2.LR_r2i1p1f1,-0.002845,0.233027598
0.214381657,585,MPI.ESM1.2.HR_r1i1p1f1,-0.0005615,0.131503004
0.212254907,585,CAMS.CSM1.0_r1i1p1f1,0.07022104,0.13940168
0.209255791,370,MIROC6_r7i1p1f1,0.1527396,0.131650358
0.205295137,245,MIROC6_r21i1p1f1,0.1330373,0.118706469
0.195676085,370,UKESM1.0.LL_r1i1p1f2,-0.108743,0.279225645
0.194413451,370,MPI.ESM1.2.HR_r8i1p1f1,-0.0316674,0.261254503
0.19396394,245,MIROC6_r27i1p1f1,0.1571362,0.082896162
0.191880992,370,GFDL.ESM4_r1i1p1f1,0.1359977,0.164892075
0.191078668,126,MIROC6_r31i1p1f1,0.1020751,0.080131833
0.19106016,245,CAMS.CSM1.0_r1i1p1f1,0.1441641,0.102096828
0.19041542,126,CanESM5_r1i1p1f1,-0.125654,0.342157853
0.188257031,126,MIROC6_r30i1p1f1,0.1829328,0.012805363
0.187273606,126,UKESM1.0.LL_r1i1p1f2,-0.002606,0.248763333
0.184654125,585,MIROC6_r41i1p1f1,0.2269831,0.022050131
0.180868247,245,CanESM5_r1i1p1f1,-0.116486,0.351909063
0.180220747,245,MPI.ESM1.2.HR_r2i1p1f1,0.05444639,0.119306414
0.178799145,126,MIROC6_r13i1p1f1,0.2075423,0.066807177
0.178638048,245,MIROC6_r10i1p1f1,0.09304054,0.175237289
0.178429493,245,MIROC6_r6i1p1f1,0.1543754,0.068836695
0.17691036,370,MIROC6_r9i1p1f1,0.146957,0.082044125
0.175568071,245,MPI.ESM1.2.LR_r29i1p1f1,0.06810352,0.108533207
0.172545732,585,FGOALS.g3_r1i1p1f1,-0.0739005,0.305773491
0.172071511,245,MIROC6_r18i1p1f1,0.07039296,0.144129348
0.169714118,245,MPI.ESM1.2.LR_r17i1p1f1,0.09002637,0.163368244
0.167122254,126,MIROC6_r32i1p1f1,0.1481695,0.037585939
